original_title,runtime,tagline,vote_average
The Cry of the Owl,101,What would you do if someone was watching you?,5.5
三城记,130,xyz,6.3
Gremlins,106,Don't get him wet  keep him out of bright light  and never feed him after midnight.,6.9
Star Wars,121,A long time ago in a galaxy far  far away...,8.1
Dirty Grandpa,102,This is Jason. He's a little worried about his grandpa.,5.7
Doctor Zhivago,197,Turbulent were the times and fiery was the love story of Zhivago  his wife and the passionate  tender Lara.,7.4
Trash,112,You never know what you might find,7.1
High School Musical 3: Senior Year,116,xyz,6.2
The Fighter,116,Every dream deserves a fighting chance.,7.2
Jackass Number Two,95,Guess who just made number two?,6.4
My Cousin Vinny,120,Truth  Justice and the Gambini Way,7.3
If I Stay,106,Live for Love.,7.3
Drive Hard,96,One Hell of A Ride,3.9
Major League,107,A comedy with bats and balls.,6.6
St. Trinian's,101,Taking higher education to a new low.,5.6
Phone Booth,81,No options. No lies. No fear. No deals. Just keep talking.,6.7
A Walk to Remember,101,She didn't belong. She was misunderstood. And she would change him forever.,7.5
Dead Man Walking,122,xyz,7.3
Cruel Intentions,97,In the game of seduction  There is only one rule: Never fall in love.,6.6
Saw VI,90,The Game Has Come Full Circle,6
History of the World: Part I,92,Ten million years in the making. The truth  the whole truth  and everything  but the truth!,6.5
The Secret Life of Bees,114,Bring Your Girlfriends  Sisters  Mothers and Daughters.,7.4
Corky Romano,86,Undercover and Out The Way!,4.1
Raising Cain,91,Demented. Deranged. Deceptive. De Palma.,5.9
F.I.S.T.,145,xyz,6.4
Invaders from Mars,100,Their conquest has already begun... He know they're here.,5.5
Brooklyn,111,Two countries  two loves  one heart,7.2
Barry Lyndon,184,At long last Redmond Barry became a gentleman - and that was his tragedy.,7.7
Out Cold,89,They haven't quite figured it all out  but they're getting a little warmer.,5.8
The Ladies Man,84,He's cool. He's clean. He's a love machine.,5.7
Quartet,98,Four Friends Looking For A Little Harmony,6.3
Tomcats,95,The Last Man Standing Gets The Kitty.,4.9
Frailty,100,No Soul Is Safe.,7
Woman in Gold,120,Justice is priceless.,7.3
Kinsey,118,Let's talk about sex,6.6
Army of Darkness,81,Trapped in time. Surrounded by evil. Low on gas.,7.3
Slackers,86,When all else fails... cheat.,5.4
What's Eating Gilbert Grape,118,A film about the love you find...In the last place you look.,7.5
The Visual Bible: The Gospel of John,125,For God loved the world So much...,8.2
Vera Drake,125,Wife. Mother. Criminal.,6.8
The Guru,91,When he talks  women listen.,5.1
The Perez Family,113,On the way to finding a family  she found love.,6.6
Inside Llewyn Davis,105,xyz,7.2
O,95,Trust. Seduction. Betrayal.,5.8
Return to the Blue Lagoon,98,Return to the Romance  Return to the Adventure...,5.1
The Molly Maguires,124,xyz,5.9
Romance & Cigarettes,105,xyz,6
Copying Beethoven,104,xyz,6.2
Brighton Rock,111,Love. Murder. Revenge.,5.6
Saw V,92,You Won't Believe How It Ends,5.9
Gli intoccabili,116,Even the Mafia Calls Him Mister!,7.3
LOL,97,You can change your status  but not your heart.,5.9
Jindabyne,123,Under the surface of every life lies a mystery,5.7
कभी अलविदा ना कहना,193,A Love.... That Broke All Relationships,6.1
An Ideal Husband,97,He just doesn't know it yet.,6.3
The Last Days on Mars,98,The search for life is about to end.,5.2
Darkness,102,A house. A past. A secret. Will you dare enter?,5.6
2001: A Space Odyssey,149,An epic drama of adventure and exploration,7.9
E.T. the Extra-Terrestrial,115,He is afraid. He is alone. He is three million light years from home.,7.3
In the Land of Women,97,Get ready to fall,5.8
The Blue Butterfly,97,xyz,6.8
There Goes My Baby,99,xyz,8.5
Housefull,135,He found the girl of his dreams  he fell in love and he got married... to all three.,5.2
September Dawn,110,xyz,5
For Greater Glory - The True Story of Cristiada,145,The True Story of Cristiada,6.4
La Famille Bélier,105,xyz,7
Good Will Hunting,126,Some people can never believe in themselves  until someone believes in them.,7.9
Misconduct,106,Ambition can be deadly,5.3
Saw III,108,Suffering? You Haven't Seen Anything Yet...,6.1
Stripes,106,The story of a man who wanted to keep the world safe for democracy...and meet girls.,6.5
Bring It On,98,May the best moves win.,5.8
The Purge: Election Year,105,Keep America great,6.1
She's All That,95,These two opposites attract... but EVERYONE'S trying to keep them apart!,5.7
Saw IV,93,You think it is over...but the games have just begun,5.9
White Noise,101,The line separating the living from the dead has been crossed.,5.6
Madea's Family Reunion,110,xyz,6
The Color of Money,119,The Hustler isn't what he used to be. But he has the next best thing. A kid who is.,6.7
The Longest Day,178,This is the day that changed the world... When history held its breath.,7.2
The Mighty Ducks,101,They can't skate. They can't win. They can't be serious.,6.4
The Grudge,92,It never forgives. It never forgets.,5.8
Happy Gilmore,92,He doesn't play golf... he destroys it.,6.5
Jeepers Creepers,90,What’s eating you?,6.1
Bill & Ted's Excellent Adventure,90,History is about to be rewritten by two guys who can't spell.,6.7
Oliver!,153,Much Much More Than a Musical!,7
The Best Exotic Marigold Hotel,124,Share the journey. Share the laughter.,6.9
Recess: School's Out,83,Saving The World One Playground At A Time,6.6
Mad Max Beyond Thunderdome,107,Two men enter. One man leaves.,5.9
Commando,90,Somewhere... somehow... someone's going to pay.,6.4
The Boy,97,Every child needs to feel loved.,5.8
Devil,80,Bad Things Happen For A Reason,5.8
Friday After Next,85,The party's back in the 'hood!,6
Insidious: Chapter 3,97,This is how you die,6.2
The Last Dragon,108,His family thinks he's crazy. His enemies think he's no challenge. But she knows he's THE LAST DRAGON.,6.4
The Lawnmower Man,108,God made him simple. Science made him a god.,5.4
Nick and Norah's Infinite Playlist,89,Every night has a soundtrack.,6.4
Dogma,130,It can be Hell getting into Heaven,6.8
The Banger Sisters,98,Some friendships last forever... like it or not.,5.5
Twilight Zone: The Movie,101,You're travelling through another dimension. A dimension  not only of sight and sound  but of mind. A journey into a wondrous land whose boundaries are that of imagination. Next stop  the Twilight Zone!,6.2
Road House,114,Dalton lives like a loner  fights like a professional. And loves like there's no tomorrow.,6.3
A Low Down Dirty Shame,100,He's armed and dangerously funny.,6
Swimfan,84,His biggest fan just became his worst nightmare.,5
Employee of the Month,103,"A slacker competes with a repeat winner for the ""Employee of the Month"" title at work",5.3
Can't Hardly Wait,100,Yesterday's history.  Tomorrow's the future.  Tonight's the party.,6.1
The Outsiders,91,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.,6.9
Pete's Dragon,102,Some secrets are too big to keep.,6.2
The Dead Zone,103,In his mind  he has the power to see the future. In his hands  he has the power to change it.,6.9
Sinister 2,97,Be careful  children at play.,5.4
Sparkle,116,Celebrate the legend.,5.8
Valentine,96,Remember that kid everyone ignored on Valentine’s Day? - He remembers you.,5
The Fourth Kind,98,There are four kinds of alien encounters. The fourth kind is abduction.,5.8
A Prairie Home Companion,105,Radio Like You've Never Seen It Before,6.4
Sugar Hill,123,He wanted power. He wanted revenge. Now he just wants out.,5.2
Invasion U.S.A.,107,America wasn't ready...but HE was!,5.3
Roll Bounce,112,xyz,6.1
Rushmore,93,Love. Expulsion. Revolution.,7.5
Skyline,100,Don't look up,4.7
The Second Best Exotic Marigold Hotel,122,xyz,6.3
Kit Kittredge: An American Girl,101,Kit Kittredge  a resourceful young girl  helps her mother run a boardinghouse after her father loses his job.,6.4
The Perfect Man,100,Is it all too good to be true?,5.5
Mo' Better Blues,129,xyz,6.3
Kung Pow: Enter the Fist,81,xyz,6.1
Tremors,96,The monster movie that breaks new ground.,6.6
Wrong Turn,84,It's the last one you'll ever take.,6
The Long Riders,99,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James",6.6
The Corruptor,110,You can't play by the rules if there aren't any.,6
Mud,130,xyz,7
Reno 911!: Miami,84,In a time of crisis  America will call Reno 911!,5.6
One Direction: This Is Us,92,A motion picture event.,8
The Goods: Live Hard  Sell Hard,90,xyz,5.4
Hey Arnold! The Movie,76,A Big Problem Calls For a Big Head,5.6
My Week with Marilyn,99,xyz,6.6
The Matador,96,A hitman and a salesman walk into a bar...,6.2
Love Jones,104,Get Together. Fall Apart. Start Over.,8.1
The Gift,108,Not every gift is welcome.,6.7
End of the Spear,108,xyz,6.1
Get Over It,87,Young  Free And Single. Again.,5.5
Office Space,89,Work sucks.,7.4
Drop Dead Gorgeous,98,The battle between the good and the bad is bound to get ugly.,6.4
Big Eyes,105,She created it. He sold it. And they bought it.,6.8
Very Bad Things,100,They've been bad. Very bad.,6.2
Sleepover,89,The rules are set. The game is on.,5.3
Body Double,114,You can't believe everything you see.,6.4
MacGruber,90,He's the ultimate tool.,5.1
Dirty Pretty Things,97,Every dream has its price.,6.8
Movie 43,90,The biggest cast ever assembled for the most outrageous comedy ever made.,4.4
Over Her Dead Body,95,She's passed on... But she's not moving on.,5.3
Seeking a Friend for the End of the World,101,Nice knowing you.,6.3
Cedar Rapids,87,Today is the first day... of the rest of his weekend.,5.9
American History X,119,Some Legacies Must End.,8.2
The Collection,94,Every great collector has a vision.,5.9
Teacher's Pet,74,A musical tail about one dog's dream of becoming a boy,5.5
The Red Violin,131,xyz,7.3
The Straight Story,112,xyz,7.7
Deuces Wild,96,Some lines should never be crossed.,5.5
Bad Words,88,The end justifies the means,6.4
Run Fatboy Run,100,Love. Commitment. Responsibility. There's nothing he won't run away from.,6.2
Heartbeeps,79,Meet a modern nuclear family unlike any other.,3.8
Black or White,121,There's more to family than what you see.,6.5
On the Line,85,xyz,4.1
Rescue Dawn,126,A true story of survival... declassified.,6.9
Danny Collins,107,A letter from John Lennon changed his life,6.6
Jeff  Who Lives at Home,83,The first step to finding your destiny is leaving your mother's basement.,6.1
Io sono l'amore,120,xyz,6.9
Atlas Shrugged Part II,112,Who is John Galt?,5.4
Romeo Is Bleeding,100,The story of a cop who wanted it bad and got it worse.,5.7
The Limey,89,Vengeance knows no boundaries.,6.6
Crash,112,You think you know who you are. You have no idea.,7.2
The House of Mirth,140,When a woman has the beauty men admire and women envy...it is wise to tread carefully.,6.4
Malone,92,Ex-Cop  Ex-CIA  Explosive,6.8
Peaceful Warrior,120,There are no ordinary moments.,7.3
Bucky Larson: Born to Be a Star,97,There Are No Small Actors. Just Small Parts.,4.4
Bamboozled,135,xyz,6.3
The Forest,95,Everyone comes here looking for a way out,4.8
Sphinx,118,Someone is hunting tourists out of season.,6
While We're Young,97,Life Never Gets Old.,5.8
A Better Life,98,Every father wants more for his son.,7
Spider,98,The only thing worse than losing your mind... is finding it again.,6.4
Gun Shy,101,The Agency's best has a bad case of nerves.,5.4
Nicholas Nickleby,132,xyz,6.8
The Iceman,105,Loving husband. Devoted father. Ruthless killer.,6.4
कृष,154,xyz,5.5
Cecil B. Demented,87,Demented Forever!,6.2
Killer Joe,102,A Totally Deep-Fried Texas Redneck Trailer Park Murder Story.,6.5
The Joneses,96,They're not just living the American dream  they're selling it.,6.1
Owning Mahowny,104,To some it's a game. To others it's a habit. But to Dan Mahowny -- beating the odds is everything,6.8
The Brothers Solomon,93,They want to put a baby in you.,4.9
My Blueberry Nights,111,How do you say goodbye to someone you can't imagine living without?,6
Illuminata,119,xyz,6.3
Swept Away,89,A snooty socialite is stranded on a Mediterranean island with a communist sailor.,4.8
War  Inc.,106,When it comes to war... America means business,5.6
少林足球,113,Get ready to kick some grass!,6.6
The Brown Bunny,93,I'm not going to be okay  Bud.,5.5
Rien ne va plus,105,xyz,6.4
Rosewater,103,xyz,6.5
La femme de chambre du Titanic,100,xyz,5.3
Coriolanus,123,Nature teaches beasts to know their friends.,5.9
Imaginary Heroes,111,People are never who they seem to be.,6.3
High Heels and Low Lifes,86,They're not bad girls. They're just behaving that way.,6.4
World's Greatest Dad,99,Lance Clayton is about to get everything he deserves.,6.5
Severance,96,The Company Is Making Cutbacks,6.4
Edmond,82,Every fear hides a wish.,6
Welcome to the Rileys,110,xyz,6.4
Police Academy: Mission to Moscow,83,Just when we thought the Cold War was over  leave it to these guys to heat it up again.,4.1
Blood Done Sign My Name,0,No one changes the world alone.,6
Cinco de Mayo: La Batalla,125,xyz,5.8
Elsa & Fred,104,It's never too late.,6.2
An Alan Smithee Film: Burn  Hollywood  Burn,86,xyz,3
The Open Road,90,They've got a long way to go,4.8
The Good Guy,90,xyz,5.4
Motherhood,90,xyz,4.7
Free Style,94,It's Time To Soar.,5.8
Strangerland,111,To find the truth they must lose themselves.,5.1
Janky Promoters,85,xyz,7
Blonde Ambition,93,Small-town girl. Big-time dreams.,3.9
The Oxford Murders,107,There is no way of finding a single absolute truth,5.7
The Reef,94,Pray That You Drown First,5.4
Eulogy,91,xyz,6.4
White Noise 2: The Light,99,Sometimes they don't come back alone.,5.6
Beat the World,91,Feel the beat  live the dream.,4.3
Fifty Dead Men Walking,117,xyz,6.1
Jungle Shuffle,85,xyz,6.5
Adam Resurrected,106,xyz,6.4
Hross í oss,85,xyz,6.9
Hai Marjawaan!,99,Finding the right man can be murder,4.3
The Devil's Tomb,90,An evil entombed for 2000 years... until now.,4
Partition,116,xyz,6.4
Good Intentions,85,xyz,5
좋은 놈  나쁜 놈  이상한 놈,130,A Fistful of Fun!,7.1
Nurse 3-D,99,Your pain is her pleasure.,4.9
Gunless,89,Fastest draw in the North... kinda.,6.7
Adventureland,107,Nothing brings people together like a crappy summer job.,6.4
The Lost City,144,xyz,6
Next Friday,98,The suburbs make the hood look good.,6.4
American Heist,94,Brothers in arms for life.,4.3
You Only Live Twice,117,You Only Live Twice...and Twice is the only way to live!,6.5
Plastic,102,HUSTLE. HEIST. REPEAT.,6.1
Amour,127,xyz,7.5
Poltergeist III,98,He's found her.,4.5
Re-Kill,87,We are the endangered species.,4.9
It's a Mad  Mad  Mad  Mad World,163,The biggest entertainment ever to rock the screen with laughter!,7
Volver,121,Return.,7.3
Heavy Metal,90,A Step Beyond Science Fiction,6.2
Gentlemen Broncos,89,Oinus  Ainous  Anous  Odious.,6.2
Richard III,104,I can smile  and murder while I smile,6.9
Into the Grizzly Maze,94,Hunt or be hunted.,5.1
